District,Year,Rice_Area,Rice_Production,Rice_Yield,Groundnut_Area,Groundnut_Production,Groundnut_Yield,Jowar_Area,Jowar_Production,Jowar_Yield,Bajra_Area,Bajra_Production,Bajra_Yield,Maize_Area,Maize_Production,Maize_Yield,Total_Area,Rice_weight,Groundnut_weight,Jowar_weight,Bajra_weight,Maize_weight,GW_Jan,GW_May,GW_Annual_Mean,GW_Max_Depth,Crop_Water_Stress_Index
Coimbatore,2014,2166.0,9969.0,4.602493074792244,4588.0,9920.0,2.1621621621621623,28457.0,37454.0,1.3161612257089643,101.0,305.0,3.01980198019802,4473.0,37337.0,8.347194276771742,39785.0,0.05444262913158225,0.11531984416237276,0.7152695739600352,0.0025386452180470027,0.1124293075279628,15.22,16.15,15.266666666666666,16.89,888.0457458841272
Coimbatore,2015,2034.0,7942.0,3.904621435594887,4877.0,11001.0,2.255689973344269,27441.0,21773.0,0.7934477606501221,66.0,172.0,2.606060606060606,4167.0,29553.0,7.092152627789777,38585.0,0.05271478553842167,0.1263962679797849,0.7111831022418038,0.0017105092652585203,0.10799533497473111,12.57,13.12,12.685454545454546,13.81,886.2900090708824
Coimbatore,2016,872.0,3518.0,4.034403669724771,3318.0,5862.0,1.7667269439421338,24397.0,13810.0,0.5660532032626963,302.0,363.0,1.2019867549668874,3987.0,9428.0,2.36468522698771,32876.0,0.026523908018007056,0.1009246867015452,0.7420914953157318,0.009186032364034554,0.12127387760068135,11.89,14.46,14.501818181818182,16.14,835.9015695340065
Coimbatore,2017,680.0,2326.0,3.420588235294117,3581.0,7194.0,2.008936051382296,26774.0,17551.0,0.6555240158362591,205.0,457.0,2.229268292682927,3946.0,30417.0,7.708312214901166,35186.0,0.019325868243051214,0.1017734326152447,0.7609276416756665,0.005826180867390439,0.1121468765986472,16.85,17.63,17.10272727272727,18.02,819.6441766611722
Coimbatore,2018,1599.0,5875.0,3.6741713570981855,4650.0,10552.0,2.269247311827957,27123.0,22208.0,0.8187884821000627,173.0,457.0,2.6416184971098264,4013.0,28648.0,7.138798903563419,37558.0,0.042574151978273606,0.12380850950529847,0.7221630544757441,0.004606209063315406,0.10684807497736834,15.61,15.96,14.760909090909092,16.65,865.8182011821715
Coimbatore,2019,861.0,3219.0,3.7386759581881535,3320.0,9021.0,2.717168674698795,27501.0,27817.0,1.0114904912548637,105.0,285.0,2.7142857142857144,3222.0,23230.0,7.209807572936064,35009.0,0.024593675911908367,0.09483275729098233,0.7855408609214773,0.002999228769744923,0.09203347710588705,12.2,13.94,12.982727272727272,14.61,817.8354137507498
Coimbatore,2020,999.0,3299.0,3.3023023023023024,4001.0,10370.0,2.5918520369907525,26462.0,26380.0,0.9969012168392412,226.0,519.0,2.2964601769911503,3486.0,21210.0,6.084337349397591,35174.0,0.02840166031727981,0.11374879172115768,0.7523170523682265,0.006425200432137374,0.09910729516119861,11.33,12.88,12.4125,13.36,832.8737135384091
Coimbatore,2021,1308.0,4887.0,3.736238532110092,3768.0,9277.0,2.4620488322717624,24876.0,21274.0,0.8552018009326259,291.0,702.0,2.4123711340206184,3433.0,22985.0,6.695310224293621,33676.0,0.038840717424872315,0.11188977313220097,0.7386863047867918,0.008641168784891318,0.10194203587124362,11.27,12.67,12.066363636363635,12.89,851.8588906045849
Coimbatore,2022,1169.0,4606.0,3.940119760479042,3290.0,7209.0,2.1911854103343464,23241.0,14165.0,0.6094832408244052,219.0,530.0,2.420091324200913,3574.0,23903.0,6.688024622271964,31493.0,0.03711935985774616,0.10446765947988441,0.7379735179246182,0.006953926269329692,0.11348553646842155,9.93,11.53,10.576363636363636,12.01,852.8117359413203
Cuddalore,2011,120983.0,248242.0,2.051875056826165,9698.0,34607.0,3.5684677253041865,31.0,35.0,1.1290322580645162,1779.0,5252.0,2.9522203485103997,13347.0,23297.0,1.7454858769760997,145838.0,0.829571168008338,0.06649844347838012,0.00021256462650338047,0.012198466791919802,0.09151935709485867,3.51,5.58,4.525,5.79,2255.2777739683756
