District,Date,H_0,H_1,H_2,H_3,H_4,H_5,H_6,H_7,H_8,H_9,H_10,H_11,H_12,H_13,H_14,H_15,H_16,H_17,H_18,H_19,H_20,H_21,H_22,H_23,H_24,H_25,H_26,H_27,H_28,H_29,H_30,H_31
Ariyalur,2015-05-01,0.0268684,0.07402517,0.04426075,0.0027403214,-0.051464066,0.050635863,-0.036556516,-0.0620828,-0.026162153,0.012863211,0.0980714,0.0059662885,-0.0060339407,0.07964307,-0.05972192,0.034136675,0.03934417,-0.078132674,0.051793385,0.013582528,0.03822337,-0.015964963,-0.0432538,0.04598559,-0.098287106,0.082811594,0.036211193,-0.051404007,0.022632394,-0.07467041,0.019382736,-0.05969403
Ariyalur,2015-06-01,0.026009262,0.070890285,0.041988622,0.0035002916,-0.048305992,0.046973437,-0.03362274,-0.057535805,-0.025038745,0.010284109,0.09297195,0.0071027544,-0.005745393,0.075334266,-0.053617902,0.031789362,0.03760372,-0.07254817,0.049266633,0.013353499,0.036421284,-0.014004033,-0.040263973,0.043440368,-0.09263953,0.07821871,0.03483316,-0.048643764,0.023366444,-0.07236021,0.018458402,-0.05731366
Ariyalur,2015-07-01,0.025948139,0.07100252,0.041788522,0.003619518,-0.04787676,0.046207134,-0.03293713,-0.056549557,-0.02475208,0.009457459,0.09256716,0.0074393754,-0.005705889,0.07508508,-0.0523667,0.03151539,0.037578255,-0.07162039,0.049072217,0.013279043,0.036064208,-0.013710179,-0.03958122,0.043104697,-0.09208356,0.077717274,0.034764882,-0.04841475,0.02366566,-0.072667435,0.018365808,-0.057324417
Ariyalur,2015-08-01,0.026074542,0.07215012,0.04202744,0.0036591568,-0.047773235,0.04548593,-0.03224569,-0.055668313,-0.02447622,0.008248961,0.09314386,0.007857313,-0.0056628003,0.075855106,-0.051230207,0.031588443,0.038101103,-0.07108123,0.049450748,0.013201627,0.035750184,-0.013576795,-0.038942564,0.04315082,-0.09250986,0.07795665,0.035053834,-0.04873508,0.024191627,-0.074100874,0.018428829,-0.058166243
Ariyalur,2015-09-01,0.026313862,0.07318151,0.042340033,0.0036567783,-0.047837183,0.04516472,-0.031982888,-0.055385422,-0.024333468,0.0073797014,0.094001636,0.008165526,-0.005702441,0.077010185,-0.050685067,0.031802855,0.03870315,-0.07102913,0.049868193,0.013217357,0.03565093,-0.013583423,-0.038714383,0.043481663,-0.0932447,0.0785165,0.035550103,-0.049218774,0.024613827,-0.0753908,0.018619904,-0.05923697
Ariyalur,2015-10-01,0.026526632,0.07370554,0.042564105,0.0036386088,-0.04789535,0.045128997,-0.0320576,-0.05553007,-0.024335435,0.0069305217,0.094646506,0.008319681,-0.005789028,0.0779701,-0.05055717,0.032009378,0.039163545,-0.071166396,0.050153114,0.013311605,0.035683922,-0.013614873,-0.038780205,0.043840244,-0.09382268,0.07900295,0.03602931,-0.049590066,0.024870168,-0.07608333,0.01881779,-0.060095403
Ariyalur,2015-11-01,0.026295455,0.071006946,0.04158892,0.0038134733,-0.04701922,0.04517687,-0.032527525,-0.05591086,-0.024502816,0.0076642702,0.09263579,0.008169224,-0.005952927,0.07646643,-0.050362103,0.031320494,0.038259704,-0.070412815,0.04889301,0.013593666,0.03573125,-0.013180915,-0.039090756,0.043395862,-0.091778114,0.07760438,0.03575267,-0.048523907,0.024503013,-0.07342398,0.018712059,-0.058961995
Ariyalur,2016-01-01,0.0257712,0.06695484,0.040410772,0.0038927426,-0.04642361,0.046243966,-0.033882514,-0.057446536,-0.025105579,0.01019243,0.089820825,0.0073918593,-0.006122944,0.07365929,-0.051830627,0.030595107,0.036633156,-0.0704788,0.047266982,0.013939576,0.036205858,-0.012970687,-0.040213678,0.042725783,-0.08923069,0.07583702,0.034890886,-0.046996113,0.023335991,-0.068873666,0.018459627,-0.056421492
Ariyalur,2016-02-01,0.024936907,0.06253423,0.038891945,0.004055787,-0.04541562,0.046636283,-0.03446895,-0.05785249,-0.025491837,0.012475142,0.085937105,0.0066768527,-0.0060750865,0.069417164,-0.05231683,0.029436866,0.034512952,-0.06951465,0.045334883,0.014058076,0.03629256,-0.012440036,-0.040620286,0.04130779,-0.08557367,0.07312574,0.033323005,-0.044880047,0.022175634,-0.06394078,0.017815284,-0.052879483
Ariyalur,2016-03-01,0.024050148,0.058818106,0.037351694,0.0042890776,-0.044215962,0.046218146,-0.034115832,-0.056999292,-0.025502091,0.013866371,0.08197703,0.0062642214,-0.0058451984,0.06495304,-0.05163201,0.028092911,0.032416478,-0.06774591,0.043480556,0.013924317,0.0359598,-0.0117177935,-0.040198315,0.039558753,-0.081679896,0.070155926,0.03150585,-0.042724483,0.021340137,-0.059908945,0.016981738,-0.049332354
