District,Year_Ahead,Steps_Ahead,ARIMA_Forecast,CI_Lower,CI_Upper
Vellore,2028,3,7.5418,2.8631,12.2205
Vellore,2029,4,7.7077,2.8435,12.572
Vellore,2030,5,7.8171,2.8505,12.7837
Villupuram,2026,1,3.9863,0.645,7.3276
Villupuram,2027,2,3.8311,-0.4432,8.1054
Villupuram,2028,3,3.9183,-1.3298,9.1663
Villupuram,2029,4,3.8693,-2.0941,9.8327
Villupuram,2030,5,3.8968,-2.7571,10.5507
Virudhunagar,2026,1,4.4054,0.7376,8.0732
Virudhunagar,2027,2,4.4076,-0.2615,9.0767
Virudhunagar,2028,3,4.4075,-1.0952,9.9103
Virudhunagar,2029,4,4.4075,-1.8179,10.6329
Virudhunagar,2030,5,4.4075,-2.465,11.2801
