District,Irrigation_Type,GW_Dependency_Ratio,GW_Trend_m_per_yr,Forecast_Horizon,Season,Predicted_GW_Depth_m,GW_Severity,Leading_Current_Crop,Top_Recommended_Crop,Rice_Viable,Viable_Crops_Ranked,Leading_Crop_Water_Req_Lkg,Recommended_Water_Req_Lkg,Potential_Water_Saving_pct,Rice_Attr_Weight,Dominant_Stress_Crop,CWSI
Mayiladuthurai,Surface-water dominant,0.0,0.451,1yr,Kuruvai,1.75,Moderate depletion,Rice,Bajra,True,Bajra(0.043) > Jowar(0.102) > Groundnut(0.161) > Maize(0.201) > Rice(0.458),2500,400,84.0,0.431,Rice,2485.4
Mayiladuthurai,Surface-water dominant,0.0,0.451,3yr,Samba,1.74,Moderate depletion,Rice,Bajra,True,Bajra(-0.016) > Jowar(0.043) > Groundnut(0.103) > Maize(0.142) > Rice(0.399),2500,400,84.0,0.431,Rice,2485.4
Mayiladuthurai,Surface-water dominant,0.0,0.451,3yr,Kuruvai,1.74,Moderate depletion,Rice,Bajra,True,Bajra(0.043) > Jowar(0.102) > Groundnut(0.161) > Maize(0.201) > Rice(0.458),2500,400,84.0,0.431,Rice,2485.4
Mayiladuthurai,Surface-water dominant,0.0,0.451,5yr,Samba,1.73,Moderate depletion,Rice,Bajra,True,Bajra(-0.016) > Jowar(0.043) > Groundnut(0.103) > Maize(0.142) > Rice(0.399),2500,400,84.0,0.431,Rice,2485.4
Mayiladuthurai,Surface-water dominant,0.0,0.451,5yr,Kuruvai,1.73,Moderate depletion,Rice,Bajra,True,Bajra(0.043) > Jowar(0.102) > Groundnut(0.161) > Maize(0.201) > Rice(0.458),2500,400,84.0,0.431,Rice,2485.4
Nagapattinam,Surface-water dominant,0.0,-0.14,1yr,Samba,2.86,Stable/recovering,Rice,Bajra,True,Bajra(0.038) > Jowar(0.074) > Groundnut(0.110) > Rice(0.324) > Maize(0.370),2500,400,84.0,0.2749,Maize,2473.9
Nagapattinam,Surface-water dominant,0.0,-0.14,1yr,Kuruvai,2.86,Stable/recovering,Rice,Bajra,True,Bajra(0.109) > Jowar(0.145) > Groundnut(0.181) > Rice(0.394) > Maize(0.441),2500,400,84.0,0.2749,Maize,2473.9
Nagapattinam,Surface-water dominant,0.0,-0.14,3yr,Samba,2.86,Stable/recovering,Rice,Bajra,True,Bajra(0.038) > Jowar(0.074) > Groundnut(0.110) > Rice(0.324) > Maize(0.370),2500,400,84.0,0.2749,Maize,2473.9
Nagapattinam,Surface-water dominant,0.0,-0.14,3yr,Kuruvai,2.86,Stable/recovering,Rice,Bajra,True,Bajra(0.109) > Jowar(0.145) > Groundnut(0.181) > Rice(0.394) > Maize(0.441),2500,400,84.0,0.2749,Maize,2473.9
Nagapattinam,Surface-water dominant,0.0,-0.14,5yr,Samba,2.87,Stable/recovering,Rice,Bajra,True,Bajra(0.038) > Jowar(0.074) > Groundnut(0.110) > Rice(0.324) > Maize(0.370),2500,400,84.0,0.2749,Maize,2473.9
Nagapattinam,Surface-water dominant,0.0,-0.14,5yr,Kuruvai,2.87,Stable/recovering,Rice,Bajra,True,Bajra(0.109) > Jowar(0.145) > Groundnut(0.181) > Rice(0.394) > Maize(0.441),2500,400,84.0,0.2749,Maize,2473.9
Namakkal,Groundwater-dependent,0.905,-0.792,1yr,Samba,9.54,Stable/recovering,Jowar,Bajra,False,Groundnut(0.317) > Maize(0.341) > Bajra(0.393) > Jowar(0.403),700,400,42.9,0.0,Bajra,972.9
Namakkal,Groundwater-dependent,0.905,-0.792,1yr,Kuruvai,9.54,Stable/recovering,Jowar,Bajra,True,Groundnut(0.306) > Maize(0.330) > Bajra(0.382) > Jowar(0.393) > Rice(0.486),700,400,42.9,0.0,Bajra,972.9
Namakkal,Groundwater-dependent,0.905,-0.792,3yr,Samba,9.57,Stable/recovering,Jowar,Bajra,False,Groundnut(0.317) > Maize(0.341) > Bajra(0.393) > Jowar(0.403),700,400,42.9,0.0,Bajra,972.9
Namakkal,Groundwater-dependent,0.905,-0.792,3yr,Kuruvai,9.57,Stable/recovering,Jowar,Bajra,True,Groundnut(0.306) > Maize(0.330) > Bajra(0.382) > Jowar(0.393) > Rice(0.486),700,400,42.9,0.0,Bajra,972.9
Namakkal,Groundwater-dependent,0.905,-0.792,5yr,Samba,9.51,Stable/recovering,Jowar,Bajra,False,Groundnut(0.317) > Maize(0.341) > Bajra(0.393) > Jowar(0.403),700,400,42.9,0.0,Bajra,972.9
Namakkal,Groundwater-dependent,0.905,-0.792,5yr,Kuruvai,9.51,Stable/recovering,Jowar,Bajra,True,Groundnut(0.306) > Maize(0.330) > Bajra(0.382) > Jowar(0.393) > Rice(0.486),700,400,42.9,0.0,Bajra,972.9
Perambalur,Groundwater-dependent,1.0,0.103,1yr,Samba,6.06,Slow depletion,Maize,Bajra,True,Bajra(0.162) > Maize(0.338) > Groundnut(0.376) > Jowar(0.475) > Rice(0.494),1200,400,66.7,0.0,Jowar,1320.2
Perambalur,Groundwater-dependent,1.0,0.103,1yr,Kuruvai,6.06,Slow depletion,Maize,Bajra,True,Bajra(0.176) > Maize(0.351) > Groundnut(0.390) > Jowar(0.488) > Rice(0.507),1200,400,66.7,0.0,Jowar,1320.2
Perambalur,Groundwater-dependent,1.0,0.103,3yr,Samba,6.03,Slow depletion,Maize,Bajra,True,Bajra(0.162) > Maize(0.338) > Groundnut(0.376) > Jowar(0.475) > Rice(0.494),1200,400,66.7,0.0,Jowar,1320.2
